CPE,CVE,SCORE,SEVERITY,DESCRIPTION,URLs,REMEDIATIONS,CWE
cpe:2.3:a:haxx:curl:*:*:*:*:*:*:*:*,CVE-2019-5482,9.8,CRITICAL,"Heap buffer overflow in the TFTP protocol handler in cURL 
7.19.4 to 7.65.3. ","http://lists.opensuse.org/opensuse-security-announce/2019-09/msg00048.html
http://lists.opensuse.org/opensuse-security-announce/2019-09/msg00055.html 
https://curl.haxx.se/docs/CVE-2019-5482.html 
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/6CI4QQ2RSZX4VCFM76SIWGKY6BY7UWIC/ 
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/RGDVKSLY5JUNJRLYRUA6CXGQ2LM63XC3/ 
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/UA7KDM2WPM5CJDDGOEGFV6SSGD2J7RNT/ 
https://seclists.org/bugtraq/2020/Feb/36 
https://security.gentoo.org/glsa/202003-29 
https://security.netapp.com/advisory/ntap-20191004-0003/ 
https://security.netapp.com/advisory/ntap-20200416-0003/ 
https://www.debian.org/security/2020/dsa-4633 
https://www.oracle.com/security-alerts/cpuapr2020.html 
https://www.oracle.com/security-alerts/cpujan2020.html ",https://curl.haxx.se/docs/CVE-2019-5482.html,CWE-120
cpe:2.3:a:haxx:curl:*:*:*:*:*:*:*:*,CVE-2018-1000300,9.8,CRITICAL,"curl version curl 7.54.1 to and including curl 7.59.0 
contains a CWE-122: Heap-based Buffer Overflow 
vulnerability in denial of service and more that can result 
in curl might overflow a heap based memory buffer when 
closing down an FTP connection with very long server 
command replies.. This vulnerability appears to have been 
fixed in curl < 7.54.1 and curl >= 7.60.0. ","http://www.oracle.com/technetwork/security-advisory/cpujul2018-4258247.html
http://www.oracle.com/technetwork/security-advisory/cpuoct2018-4428296.html 
http://www.securityfocus.com/bid/104207 
http://www.securitytracker.com/id/1040933 
https://curl.haxx.se/docs/adv_2018-82c2.html 
https://security.gentoo.org/glsa/201806-05 
https://usn.ubuntu.com/3648-1/ 
https://www.oracle.com/technetwork/security-advisory/cpujan2019-5072801.html ",https://curl.haxx.se/docs/adv_2018-82c2.html,CWE-119
cpe:2.3:a:haxx:curl:*:*:*:*:*:*:*:*,CVE-2018-16842,9.1,CRITICAL,"Curl versions 7.14.1 through 7.61.1 are vulnerable to a 
heap-based buffer over-read in the tool_msgs.c:voutf() 
function that may result in information exposure and denial 
of service. ","http://www.securitytracker.com/id/1042014
https://access.redhat.com/errata/RHSA-2019:2181 
https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2018-16842 
https://curl.haxx.se/docs/CVE-2018-16842.html 
https://github.com/curl/curl/commit/d530e92f59ae9bb2d47066c3c460b25d2ffeb211 
https://lists.debian.org/debian-lts-announce/2018/11/msg00005.html 
https://security.gentoo.org/glsa/201903-03 
https://usn.ubuntu.com/3805-1/ 
https://usn.ubuntu.com/3805-2/ 
https://www.debian.org/security/2018/dsa-4331 
https://www.oracle.com/technetwork/security-advisory/cpuoct2019-5072832.html ",https://curl.haxx.se/docs/CVE-2018-16842.html,CWE-125
cpe:2.3:o:debian:debian_linux:7.0:*:*:*:*:*:*:*,CVE-2018-1000122,9.1,CRITICAL,"A buffer over-read exists in curl 7.20.0 to and including 
curl 7.58.0 in the RTSP+RTP handling code that allows an 
attacker to cause a denial of service or information 
leakage ","http://www.oracle.com/technetwork/security-advisory/cpujul2018-4258247.html
http://www.oracle.com/technetwork/security-advisory/cpuoct2018-4428296.html 
http://www.securityfocus.com/bid/103436 
http://www.securitytracker.com/id/1040530 
https://access.redhat.com/errata/RHBA-2019:0327 
https://access.redhat.com/errata/RHSA-2018:3157 
https://access.redhat.com/errata/RHSA-2018:3558 
https://access.redhat.com/errata/RHSA-2019:1543 
https://access.redhat.com/errata/RHSA-2020:0544 
https://access.redhat.com/errata/RHSA-2020:0594 
https://curl.haxx.se/docs/adv_2018-b047.html 
https://lists.debian.org/debian-lts-announce/2018/03/msg00012.html 
https://usn.ubuntu.com/3598-1/ 
https://usn.ubuntu.com/3598-2/ 
https://www.debian.org/security/2018/dsa-4136 
https://www.oracle.com/technetwork/security-advisory/cpujan2019-5072801.html 
https://www.oracle.com/technetwork/security-advisory/cpujul2019-5072835.html ",https://curl.haxx.se/docs/adv_2018-b047.html,CWE-125
cpe:2.3:o:debian:debian_linux:7.0:*:*:*:*:*:*:*,CVE-2018-1000301,9.1,CRITICAL,"curl version curl 7.20.0 to and including curl 7.59.0 
contains a CWE-126: Buffer Over-read vulnerability in 
denial of service that can result in curl can be tricked 
into reading data beyond the end of a heap based buffer 
used to store downloaded RTSP content.. This vulnerability 
appears to have been fixed in curl < 7.20.0 and curl >= 
7.60.0. ","http://www.oracle.com/technetwork/security-advisory/cpujul2018-4258247.html
http://www.oracle.com/technetwork/security-advisory/cpuoct2018-4428296.html 
http://www.securityfocus.com/bid/104225 
http://www.securitytracker.com/id/1040931 
https://access.redhat.com/errata/RHBA-2019:0327 
https://access.redhat.com/errata/RHSA-2018:3157 
https://access.redhat.com/errata/RHSA-2018:3558 
https://access.redhat.com/errata/RHSA-2020:0544 
https://access.redhat.com/errata/RHSA-2020:0594 
https://curl.haxx.se/docs/adv_2018-b138.html 
https://lists.debian.org/debian-lts-announce/2018/05/msg00010.html 
https://security.gentoo.org/glsa/201806-05 
https://usn.ubuntu.com/3598-2/ 
https://usn.ubuntu.com/3648-1/ 
https://www.debian.org/security/2018/dsa-4202 
https://www.oracle.com/technetwork/security-advisory/cpujan2019-5072801.html 
https://www.oracle.com/technetwork/security-advisory/cpujul2019-5072835.html ",https://curl.haxx.se/docs/adv_2018-b138.html,CWE-125
cpe:2.3:a:haxx:curl:*:*:*:*:*:*:*:*,CVE-2018-16839,9.8,CRITICAL,"Curl versions 7.33.0 through 7.61.1 are vulnerable to a 
buffer overrun in the SASL authentication code that may 
lead to denial of service. ","http://www.securitytracker.com/id/1042012
https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2018-16839 
https://curl.haxx.se/docs/CVE-2018-16839.html 
https://github.com/curl/curl/commit/f3a24d7916b9173c69a3e0ee790102993833d6c5 
https://lists.apache.org/thread.html/8338a0f605bdbb3a6098bb76f666a95fc2b2f53f37fa1ecc89f1146f@%3Cdevnull.infra.apache.org%3E 
https://lists.debian.org/debian-lts-announce/2018/11/msg00005.html 
https://security.gentoo.org/glsa/201903-03 
https://usn.ubuntu.com/3805-1/ 
https://www.debian.org/security/2018/dsa-4331 ",https://curl.haxx.se/docs/CVE-2018-16839.html,CWE-119
cpe:2.3:a:haxx:curl:*:*:*:*:*:*:*:*,CVE-2018-0500,9.8,CRITICAL,"Curl_smtp_escape_eob in lib/smtp.c in curl 7.54.1 to and 
including curl 7.60.0 has a heap-based buffer overflow that 
might be exploitable by an attacker who can control the 
data that curl transmits over SMTP with certain settings 
(i.e., use of a nonstandard --limit-rate argument or 
CURLOPT_BUFFERSIZE value). ","http://www.securitytracker.com/id/1041280
https://access.redhat.com/errata/RHSA-2018:2486 
https://curl.haxx.se/docs/adv_2018-70a2.html 
https://github.com/curl/curl/commit/ba1dbd78e5f1ed67c1b8d37ac89d90e5e330b628 
https://security.gentoo.org/glsa/201807-04 
https://usn.ubuntu.com/3710-1/ ",https://curl.haxx.se/docs/adv_2018-70a2.html,CWE-119
cpe:2.3:o:debian:debian_linux:7.0:*:*:*:*:*:*:*,CVE-2018-1000120,9.8,CRITICAL,"A buffer overflow exists in curl 7.12.3 to and including 
curl 7.58.0 in the FTP URL handling that allows an attacker 
to cause a denial of service or worse. ","http://www.oracle.com/technetwork/security-advisory/cpujul2018-4258247.html
http://www.oracle.com/technetwork/security-advisory/cpuoct2018-4428296.html 
http://www.securityfocus.com/bid/103414 
http://www.securitytracker.com/id/1040531 
https://access.redhat.com/errata/RHBA-2019:0327 
https://access.redhat.com/errata/RHSA-2018:3157 
https://access.redhat.com/errata/RHSA-2018:3558 
https://access.redhat.com/errata/RHSA-2019:1543 
https://access.redhat.com/errata/RHSA-2020:0544 
https://access.redhat.com/errata/RHSA-2020:0594 
https://curl.haxx.se/docs/adv_2018-9cd6.html 
https://lists.debian.org/debian-lts-announce/2018/03/msg00012.html 
https://usn.ubuntu.com/3598-1/ 
https://usn.ubuntu.com/3598-2/ 
https://www.debian.org/security/2018/dsa-4136 
https://www.oracle.com/technetwork/security-advisory/cpujan2019-5072801.html 
https://www.oracle.com/technetwork/security-advisory/cpujul2019-5072835.html 
https://www.oracle.com/technetwork/security-advisory/cpuoct2019-5072832.html ",https://curl.haxx.se/docs/adv_2018-9cd6.html,CWE-787
cpe:2.3:o:debian:debian_linux:7.0:*:*:*:*:*:*:*,CVE-2018-1000121,7.5,HIGH,"A NULL pointer dereference exists in curl 7.21.0 to and 
including curl 7.58.0 in the LDAP code that allows an 
attacker to cause a denial of service ","http://www.oracle.com/technetwork/security-advisory/cpujul2018-4258247.html
http://www.oracle.com/technetwork/security-advisory/cpuoct2018-4428296.html 
http://www.securityfocus.com/bid/103415 
http://www.securitytracker.com/id/1040529 
https://access.redhat.com/errata/RHBA-2019:0327 
https://access.redhat.com/errata/RHSA-2018:3157 
https://access.redhat.com/errata/RHSA-2018:3558 
https://access.redhat.com/errata/RHSA-2020:0544 
https://access.redhat.com/errata/RHSA-2020:0594 
https://curl.haxx.se/docs/adv_2018-97a2.html 
https://lists.debian.org/debian-lts-announce/2018/03/msg00012.html 
https://usn.ubuntu.com/3598-1/ 
https://usn.ubuntu.com/3598-2/ 
https://www.debian.org/security/2018/dsa-4136 
https://www.oracle.com/technetwork/security-advisory/cpujan2019-5072801.html 
https://www.oracle.com/technetwork/security-advisory/cpujul2019-5072835.html ",https://curl.haxx.se/docs/adv_2018-97a2.html,CWE-476
cpe:2.3:a:haxx:curl:*:*:*:*:*:*:*:*,CVE-2019-5481,9.8,CRITICAL,"Double-free vulnerability in the FTP-kerberos code in cURL 
7.52.0 to 7.65.3. ","http://lists.opensuse.org/opensuse-security-announce/2019-09/msg00048.html
http://lists.opensuse.org/opensuse-security-announce/2019-09/msg00055.html 
https://curl.haxx.se/docs/CVE-2019-5481.html 
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/6CI4QQ2RSZX4VCFM76SIWGKY6BY7UWIC/ 
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/RGDVKSLY5JUNJRLYRUA6CXGQ2LM63XC3/ 
https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/UA7KDM2WPM5CJDDGOEGFV6SSGD2J7RNT/ 
https://seclists.org/bugtraq/2020/Feb/36 
https://security.gentoo.org/glsa/202003-29 
https://security.netapp.com/advisory/ntap-20191004-0003/ 
https://www.debian.org/security/2020/dsa-4633 
https://www.oracle.com/security-alerts/cpuapr2020.html 
https://www.oracle.com/security-alerts/cpujan2020.html ",https://curl.haxx.se/docs/CVE-2019-5481.html,CWE-415
